id,name,text,trans
0-chapter_name,,気楽な第５皇子,
0-synopsis,,小高い丘の上から姬塔達の戦況を見守る王様は、祖国で過ごした日々に思いを馳せていた。王様──カッツェリーラはガルゲニア皇国の第五皇子でありながら、政治や軍事に無関心で、楽団で指揮者を務める音楽家だった。楽団員にはカッツェリーラの他は平民しかいなかったが、冗談を言い合える関係を築いていた。しかし、平和な日々は皇帝が倒れて一変してしまうのだった。,
1,,<span class='scene-font-katari'>カードに封印された星晶獣は</span><br><span class='scene-font-katari'>覇空戦争の記憶を幾度も繰り返すことで</span><br><span class='scene-font-katari'>必勝の法則を学習しつつある。</span>,
2,,<span class='scene-font-katari'>その学習を終えて顕現したならば、</span><br><span class='scene-font-katari'>全空の脅威となるだろう。</span>,
6,,<span class='scene-font-katari'>だが星晶獣が学習しきれない</span><br><span class='scene-font-katari'>強力な異分子が記憶の中にあれば、</span><br><span class='scene-font-katari'>顕現の時は遠のくはず。</span>,
7,,<span class='scene-font-katari'>姬塔達は異分子となるため</span><br><span class='scene-font-katari'>記憶の世界に入り込み、</span><br><span class='scene-font-katari'>激しい戦いに身を投じていた。</span>,
8,ビィ/碧,よし、いまだ！　姬塔！,
14,ビィ/碧,ルリア！,
18,ルリア/露莉亚,はい！　召喚します！,
22,,<span class='scene-font-katari'>勇敢に戦う姬塔達を</span><br><span class='scene-font-katari'>王様は小高い丘の上から眺めていた。</span>,
23,王様,はっはっはっはっは！<br>咆哮と地響きが織りなす狂気の葬送曲！<br>これが戦争というものか！,
26,王女様,……実に強き者達ですね。,
27,ハーゼリーラ,精鋭ぞろいだと思いませんか？,
28,王様,うむ、これほどの猛者は<br>祖国にもいなかったな。,
29,王様,さて化け猫よ、<br>貴様の望む形にしてやったぞ。,
30,？？？,…………,
31,王様,私もこれで一歩、<br>目的に近づいたというわけだ。,
38,？？？,カッツェリーラ・アロイス・ガングス、<br>我が息子、カッツェリーラよ。<br>先日の音楽会は見事な働きであった。,
39,？？？,皇子が指揮者を務める姿は<br>小国の王達にも驚きを与えたようだ。,
40,カッツェリーラ,皇帝陛下、もったいなきお言葉。,
41,皇帝,お前の母親、<br>第三皇妃が病で死んだのは２年前。,
42,皇帝,お前の腹違いの姉であり、<br>愛しい我が娘、第三皇子も<br>１年前、病でこの世を去った。,
43,皇帝,ガルゲニア皇国はここ数年、<br>死者に事欠かない……,
44,皇帝,だがお前が開いた音楽会は<br>皇国に満ちた暗い空気を<br>打破するものだった。,
45,カッツェリーラ,陛下にご満足いただけたのなら<br>無上の喜びとするところ。,
46,皇帝,見事ではあったが……<br>そろそろお前も兵法や政治を<br>学んでみてはどうだ？,
47,皇帝,６人いた皇子はひとり減ってしまった。<br>残った５人で力を合わせ、<br>皇国の威信を示してほしいのだ。,
48,カッツェリーラ,皇国の威信を示すのは、<br>なにも剣や槍を<br>振るうことばかりではありますまい。,
49,皇帝,……では、カッツェリーラよ、<br>お前はなにを振るうというのか？,
50,カッツェリーラ,私は指揮棒を振るいます。,
51,皇帝,こやつめ……その政治への無関心さ、<br>お前はわしでなく、我が弟に似たな。,
52,,<span class='scene-font-katari'>複数の小国を束ねるガルゲニア皇国──</span>,
53,,<span class='scene-font-katari'>その第五皇子でありながら</span><br><span class='scene-font-katari'>カッツェリーラは政治や軍事に</span><br><span class='scene-font-katari'>いっさい興味がなかった。</span>,
58,,<span class='scene-font-katari'>謁見からの帰り際、公爵である叔父と</span><br><span class='scene-font-katari'>腹違いの第一皇子と鉢合わせした。</span>,
59,カッツェリーラ,これは叔父上と兄上、ごきげんよう。,
60,第一皇子,やあ、カッツェ。<br>皇国の誇るマエストロが<br>今日はどうしてここに？,
61,公爵,カッツェは陛下に<br>音楽会のことで呼ばれたのだろう？<br>あれは良き催しだった。,
62,カッツェリーラ,楽しんでいただけたなら幸いです。,
