id,trans
filename,主线剧情第82章第1节第1幕
info,scene_cp82_q1_s10
29,就这样，在女性的号令下，<br>士兵们慌张地行动起来。
28,马上就出发！<br>快去做好准备！
27,这名女性愁眉苦脸地叹了口气，<br>然后摇了摇头。
26,呃……<br>该不会，他是擅自离开的吗……？<br>之前没有告知蕾欧娜大人吗……
24,~~~~！！
23,该隐大人的话，<br>昨天哼着“我先走一步了”<br>就出发了。
22,诶？该隐大人吗？
21,该、该隐，<br>有谁见过他吗？
17,女性脸色忽然变得铁青，<br>然后她慌张地跑出屋子。
16,难道……
15,但是房间中毫无反应，<br>这位女性只是呆站在那里。
14,真是的……现在可不是玩捉迷藏的时候，<br>我差不多真的要生气了哦？
13,诶？哈？该隐？该——隐？
12,…………
11,房里的床上并没有人影，<br>无人的房间显得非常空荡。
10,该隐？
7,该隐，我进来了哦？<br>真是的，就算要揍你几拳，<br>现在也必须把你叫醒呢。
6,女性犹豫了片刻，<br>然后下定决心将手伸向房门。
5,没有醒来的迹象吗，<br>哈……真是头疼。
4,这位女性不再敲门，<br>而是倾听着屋内的情况。
3,之前不是说过了吗？<br>你这个样子，<br>可是没法给身边的人做好榜样的哦。
2,——该隐！该起床了该隐！<br>今天是出发的日子，<br>之前已经提醒你无数遍了！
1,一位女性不停敲着某个房间的门，<br>并且持续向屋内呼喊着。
0,在纳尔・格兰德空域的<br>某座岛上。
0-synopsis,在纳尔・格兰德空域的某座岛上，某名女性造访了岛上的一个房间，却没有见到房间的主人——该隐的身影，然后她慌张地跑了出去。根据附近士兵的陈述，该隐昨天已经出发离开了，这名女性叹气并摇头，向士兵们下令之后立刻出发了。
0-chapter_name,第82章 该隐设陷
