id,name,text,trans
0,ゾーイ/佐伊,姬塔、\nメリークリスマス。,姬塔，圣诞快乐。
1,ゾーイ/佐伊,ふふ……今年もこうして\nキミに挨拶ができて、嬉しいよ。,呵呵……今年也能这样和你打招呼，很开心。
2,ゾーイ/佐伊,……そうだ。\n姬塔は、寒くないか？,……对了。姬塔，你不冷吗?
3,ゾーイ/佐伊,街を見ていたら、今日は特に、\n身を寄り添わせている人々が\n多かったんだ。,我看到今天有特别多的人互相依偎在一起。
4,ゾーイ/佐伊,きっと、大切な人が寒くないように\nしているんだろうと思ったんだが……,我觉得那一定是在保护最重要的人不受寒风侵袭……
5,ゾーイ/佐伊,そうか、間違っていないのだな。\nなら、私もキミに寄り添おう。\n大切なキミが、寒くないように。,这样啊，果然没错。那么，我也和姬塔依偎在一起吧。为了重要的你不感到寒冷。
7,ゾーイ/佐伊,ふふ……遠慮しなくていい。\nもっと、私の側に寄ってくれ。,呵呵……不用客气。靠过来一些。
8,ゾーイ/佐伊,キミが側にいると、\n身体の奥底から熱くなるんだ。,当你在我身边的时候，我的心底也会发热。
9,ゾーイ/佐伊,だからきっと……暖かいと思う。\nさあ、試してみてくれ。,所以我想……一定会很暖和。来吧，试试看。
info,,,scene_s4_christmas_3055_v5_0_2005_4_3040564000
译者,,,
