id,trans
filename,scene_chr822_q1_s10
translator,Amadeus
info,scene_chr822_q1_s10
71,诶、诶……？\n为、为什么……？
70,是、这样……\n对不起、斑比……\n稍微、能给我一点时间吗？
69,……费尔德拉克大人。\n果然还是……
68,诶……？
67,但是……
66,对吧对吧～！\n嘿嘿、再多夸一点也没关系哦～？
65,嘎哦嘎哦！
64,没想到斑比\n为了梅德韦西亚\n考虑得这么周到……
63,非常好的提议。\n考虑地真周到。\n斑比。
62,<span class='scene-font-4'>怎么样！？　祭典！</span>\n斑比酱、很厉害吧！
61,斑比一到梅德韦西亚、\n马上把祭典的详情\n告诉了费尔德拉克。
55,汇总到一定程度后、\n为了向费尔德拉克回报、\n一行人立即前往了梅德韦西亚。
54,在那之后、姬塔一行人\n借助了居民的力量\n决定了祭典的详细内容。
53,哦！
52,好！\n诶、诶、哦!——————
51,嗯！　变得有干劲了～！\n一起加油吧！\n姬塔！　还有大家！
50,斑比酱也要加油了呢！\n要告诉费尔德拉克\n他做的努力没有白费！
49,嗯……费尔德拉克、\n真的很努力了呢……
48,哦哦、原来是这样啊……\n真厉害啊、那家伙……！
47,而且不仅如此、\n他还为我们提供了治理建议、\n确保了双方的贸易路线。
46,费尔德拉克先生。\n之前来过这个小镇。\n和我们建立了友好关系。
45,诶诶……斑比酱、\n什么都没有做哦……？
44,没关系的、因为。\n小姐你是吸血鬼对吧？\n多亏了你的帮助。
43,但是哦……会不会太温柔了？\n不对、虽说是想说感谢的话了啦。\n连器材和人都借给我了我们……
42,诶嘿嘿、大叔真有趣！\n而且很温柔！
41,那就只好试试看了！\n什么嘛、我想一定会增加不少乐趣！
40,诶诶ー……！\n完全想象不到！
39,试着想象一下……\n在雾中闪耀的烟火……！\n一定会是独一无二的景象！
38,特别是我们烟火师的作品、\n亮度可是很强的！\n在这一方面应该会起到很好的作用！
37,这、这样的吗？
36,放心吧……悄悄跟你说、\n烟火和雾相性很好的……
35,哇、姐姐知道的真多呢！\n就是啊！\n一直都很昏暗的～……
34,但是、没关系吗？\n梅德韦西亚不是\n到处都是雾吗？
33,那真是最棒的庆典了！\n要是那样的话烟火一定很合适！
32,嗯！　把它变成一个！\n超大的大家的派对吧！\n斑比酱真是天才！
31,呵呵呵、真是个好主意！
30,大家一定也会很高兴的！\n要是能够传达得到就太好了～！
29,一定是这样、在梅德韦西亚\n放好多好多烟花的话、\n我想妈妈也一定会很开心的～！
28,原、原来是这样啊……\n俺、还以为……
27,在这片天空的某一处\n健康地活着呢ー……\n一直在默默守护着斑比酱的～！
26,诶？　为什么～？\n只是现在不在了哦～！
25,对、对不起啊。\n说了不合适的话……
24,诶……？
23,是这样哦？\n因为已经不在了嘛。
22,话说回来、没有见过啊……\n指见过代理父母的费尔德拉克。
21,斑比酱的、\n妈妈吗……！？
20,啊……这样的话！\n有斑比酱妈妈的生日！
19,类似的庆祝活动吗～……？\n庆祝活动……嗯……
18,所以梅德韦西亚也可以像这一样、\n要是有什么能够成为远点的庆祝活动的话\n或许能够做得到。
17,那个呢……\n就比如说这个城市\n是以过去的庆祝活动为原点举办的纳凉节。
16,但是啊……斑比酱……\n真的很喜欢这个城市的纳凉节的……
15,原、原来如此……？
14,机械和人才无论多少都能借到！\n所以要是梅德韦西亚自己的节日的话\n就应该没有问题吧！
13,只不过是没法举办相同的祭典而已！\n因为不管怎样文化圈不一样！
12,嗯嗯～……？\n斑比酱的头……\n变得乱七八糟的……
11,嗯、我想是没问题。\n举办节日本身的话。
10,原来有吗！？
9,有的！！
8,呜呜～……怎么这样～……\n就不能想想办法吗……？
7,太复杂了！！\n太复杂了，在别的城市是没法\n举办同样的节日的！
6,诶、那个呢……\n我们镇子从以前开始就一直持续到现在\n该怎么说呢……。
5,<span class='scene-font-4'>不行！？</span>\n为什么～！？
4,不可能的！！
3,斑比满怀希望地、\n倾听他们的话──……
2,次日、在结束了纳凉节的镇子上\n姬塔一行向镇子上的居民\n询问举办纳凉节的方法。
0-synopsis,纳凉节的第二天，姬塔一行人向镇上的人询问纳凉节的举行方法。镇上的人建议如果梅德韦基亚举办独自的节日的话就应该能行，也会借给岛上器材和人才。斑比灵机一动想到作为岛上的庆祝活动在斑比的母亲生日那天举办纳凉节。于是前往梅德维基亚。但是听了举办纳凉节的事，费尔德拉克和维特露出了困惑的表情。
0-chapter_name,梅德韦西亚烟火节
