id,name,text,trans
0-chapter_name,,第7話 正義の彼岸,
0-synopsis,,ビューレイスト達の協力を得ながら星骸殻の素材にされた星の民の星晶獣化を続けるオノスケリスだが、残りは3000体弱と先は長い。一方古戦場でプロクルスを迎える一行の前に、プロクルスと別に３人の人影が現れる。注意が３人に向く最中、姬塔の背後にプロクルスが現れる。３人が囮であると悟った一行はすぐに姬塔へと手を伸ばすが、その姿はプロクルスと共に消えてしまうのだった。,奥诺斯凯莉丝在贝莱斯特等人的帮助下推进将被用作星骸壳素材的星之民转化为星晶兽的计划，但仍剩下3000具未被转化，前路漫漫。另一方面，准备迎战普罗克鲁斯的一行人面前出现了三个并非普罗克鲁斯的人影。就在他们的注意力都集中在那三人身上时，普罗克鲁斯出现在姬塔身后。意识到前面的三人是诱饵的一行人试图解救姬塔，但姬塔还是跟普罗克鲁斯一起消失了。
1,ビィ/碧,くそぅ……\n思ったよりも\n早く動いてきやがったな。,可恶……\n他们来得比想象中还快啊。
2,カタリナ/卡塔莉娜,リリトの助言で、\nプロクルスの使う力については\n対策を進められているが……,我们已经按照莉莉特的建议展开行动，\n应对普罗克鲁斯所使用的力量了……
3,カタリナ/卡塔莉娜,結局のところ、\n次の一手については、\n予想が出来ていないからな。,但到头来，\n却没料到他的下一步行动。
4,ラカム/拉卡姆,何をする気かはわからねぇが、\nここは俺達で時間を稼がねぇとな。,不知道他打算干什么，\n现在只能由我们争取一下时间了。
5,シーザー/凯撒,星骸殻の素材にされた\n<span class='scene-font-spword'>星の民</span>の星晶獣化……\n間に合えばいいのですが……,将被用作星骸壳素材的\n<span class='scene-font-spword'>星之民</span>星晶兽化……\n希望能够赶得上……
13,オノスケリス/奥诺斯凯莉丝,うう……\n終わんない……,呜呜……\n没完没了……
14,ミカボシ/米卡波西,口より手を動かして。\n貴方を中心で始めた以上、\n手伝えることにも限界があるんだから。,与其动口不如动手。\n既然行动是以你为中心的，\n我们这些帮手再怎么使劲也是有限度的。
15,ビューレイスト/贝莱斯特,ある程度、負荷はこちらで\n肩代わりしよう。,这些负荷，\n就由我来替你分担一部分吧。
16,ビューレイスト/贝莱斯特,こんな方法よりも、\n休ませてやりたいところだが……,虽然比起用这种方法，\n我更想让你好好休息一会……
17,シユウ/蚩尤,残り3000弱……\nプロクルスの動きが読めない以上、\nペースを落とすことは出来ませんね。,还剩下3000只……\n现在无法判断普罗克鲁斯的动向，\n不能让节奏慢下去。
