id,name,text,trans
0-chapter_name,,オープニング,序章
0-synopsis,,エリゴス組の頭・アロゲントは、手下からユイシスと姬塔についての報告を受けていた。そこにエイレアが現れる。アロゲントは命令を果たしてきたエイレアを労いつつ、連れてこさせたゼリオン組の頭を切り捨てる。その後アロゲントは、ユイシスの両親への復讐を果たすため、エイレアにユイシスと姬塔を殺すように命じ、自身の魔具・ヴァースリアを再び貸し与えるのだった。,艾里戈斯组头目·阿罗耿特正听取手下关于优希斯和姬塔的报告。此时艾蕾亚前来。阿罗根特慰劳了完成任务的艾蕾亚，同时处决了被带来的泽里翁组首领。随后，阿罗耿特为了向优希斯的父母复仇，命令艾蕾亚杀死优希斯和姬塔，并再次将自身的魔具瓦斯利亚借给了她。
1,,とある豪奢な執務室。\nそこで男は部下からの報告を\n聞いていた。,一间豪华的办公室内，男人正在听取部下的\n报告。
2,エリゴス組・組員１,以上がゼリオン組の組員達から\n聞き出した情報になります。,以上是从泽里翁组员那里打听出的情报。
3,？？？,なるほど……\n義理人情の志に従い、\nゼリオン組にカチコミましたか……,原来如此……是秉着崇尚道义的理念，去找泽里翁组算账了吗……
4,？？？,流石はユイシスですね。\nそれにこの騎空団の団長も\n中々のものの様です。,不愧是优希斯。而且，看来那个骑空团的团长也相当有本事。
5,？？？,ふふっ、この様子なら\n私の願いが叶うのも\nそう遠くはないでしょう。,呵呵，照这情形看来，我的心愿想必也很快就能实现了吧。
6,？？？,（ですが、ディートリアの覚醒が\nまだ……というのが\n少し気になりますね）,（不过，迪特利亚尚未觉醒……这一点还是让我有些在意）
7,？？？,…………,…………
9,,突如、鳴り響くノックの音。,突然，一阵敲门声响起。
10,？？？,どうぞ。\n鍵は開いていますよ。,请进。门没有锁。
13,エイレア,……失礼します。\n命令通り、ゼリオン組の頭を\n連れてきました。,……打扰了。按照命令，我把泽里翁组的首领带来了。
14,,エイレアは拘束したゼリオン組の頭を\nアロゲントの前へと突き出す。,艾蕾亚将被拘束的泽里翁组首领推到阿罗耿特面前。
15,ゼリオン組・頭,ひっ！？\nア、アロゲントの兄貴……,噫！？阿、阿罗耿特大哥……
16,アロゲント,…………,…………
17,ゼリオン組・頭,そ、その……今回はすまねぇ。\n兄貴の面目を潰しちまって……,那、那个……这次真对不住。\n让大哥您颜面扫地了……
18,ゼリオン組・頭,<span class='scene-font-4'>上納金なら、今までの倍払う！</span>\nだから、頼む！\nもう一度、俺に力を貸してくれ！,<span class='scene-font-4'>供奉金的话，我会付之前的双倍！</span>\n所以，求你了！再帮我一次吧！
19,ゼリオン組・頭,ゼリオン組とエリゴス組……\nいや、俺と兄貴の仲だろ？\nなぁ──,凭泽里翁组和艾里戈斯组……\n不，凭我和大哥的交情──
20,アロゲント,まずはエイレア、ご苦労様です。\n私のお願いを聞いていただき、\n感謝しますよ。,首先，艾蕾亚，辛苦了。\n非常感谢你愿意听我的请求。
21,エイレア,……直属の私兵として\n当然の働きをしたまでです。\nそれとこちらをお返しします。,……身为直属亲兵，我只是完成了分内之事。另外，这个归还给您。
23,アロゲント,はい。確かに……\nでは、まずは掃除からすると\nしましょうか。,嗯。我收到了……那么，就先从打扫开始吧。
24,ゼリオン組・頭,え……,咦……
29,アロゲント,役立たずのゴミが……,你这没用的垃圾……
31,アロゲント,気安く接するのを許していたのは\n貴様を扱いやすい駒に\nするためなんだよ。,我之所以允许你随意套近乎，就是为了把你变成一枚好用的棋子罢了。
32,アロゲント,なのに、何がオレと貴様の仲だ？\nもう一度、力を貸せだぁ？,你还敢提什么我和你的交情？\n还要我再帮你一次？
33,アロゲント,勘違いしてんじゃねぇ！,别给我误会了！
35,,アロゲントはその感情のままに\nゼリオン組の頭の死体を\n強く蹴る。,阿罗耿特顺应自身的情绪，用力踢向泽里翁组首领的尸体。
36,アロゲント,おまけにオレのシマで\nオレの名前で好き勝手\nしやがってよ……,你还敢在我的地盘上，打着我的名号为所欲为……
37,アロゲント,図々しいにも程があんだろう？\nわかってんのか？　あ？,恬不知耻也有个限度吧？\n到底明白了吗？啊？
38,アロゲント,おい、このゴミと組のモン……\n後、組の親類縁者まとめて\n全員処分しておけ。,喂，把这垃圾和他组里的家伙\n……连同亲朋好友都一并处理掉。
39,エリゴス組・組員１,わかりました。,明白。
