id,trans
filename,主线剧情-第64章第2节
info,scene_cp64_q2_s10
55,<span class='scene-font-katari'>那一瞬间，</span><br><span class='scene-font-katari'>他的眼中闪烁起新的希望和决心。</span>
54,<span class='scene-font-katari'>欧根回顾了他迄今走过的道路。
53,<span class='scene-font-2'>顺从己心……</span>\n做我想做的事情吗……
52,<span class='scene-font-katari'>房间里只剩下了欧根一人，</span><br><span class='scene-font-katari'>他手里握着与他数次共度生死的步枪，轻声叹息。</span>
51,<span class='scene-font-katari'>萝赛塔脸上挂着恶作剧一般的微笑，</span><br><span class='scene-font-katari'>离开了欧根的房间。</span>
50,哈哈……<br>真是让人还不了口啊。
49,因为，即使你比我年轻，<br>你也不是什么都能做成的年纪了，对吧？
48,我想你按照自己的心意……\n去做你想做的事就好了。
47,那么你觉得呢？<br>你认为我应该这样坚持下去，还是？
46,<span class='scene-font-katari'>萝赛塔的话令欧根的表情再一次严肃起来。
45,而你……你会怎么做呢？<br>能做出这个选择的，<br>只有你自己哦。
44,是的……<br>即便如此他也通过自己的选择，<br>完成了他的旅途。
43,我听你说得越多，<br>就越觉得姬塔的父亲<br>像是一个相当可怕的家伙呢。
42,毕竟那个男人简直是鲁莽和无谋的化身……
41,不如说，与她的父亲相比，<br>我认为那个孩子现在的旅途<br>反倒更加现实可行一些。
40,你觉得姬塔是那种能被轻易阻止的人吗？<br>正因如此才像是那个人的孩子哦。
39,作为姬塔的父亲的熟人，<br>你明知道这旅途会充满危险，<br>却还不打算阻止姬塔吗？
38,<span class='scene-font-katari'>看着面露微笑的萝赛塔，</span><br><span class='scene-font-katari'>欧根提出了一个疑问。</span>
37,明知如此还放手不管，<br>这种事是不可能的吧。
36,而且，既然目标是前往星之岛，<br>接下来的旅途只会更加艰辛。
35,<span class='scene-font-katari'>萝赛塔好像在眺望着很远的地方，</span><br><span class='scene-font-katari'眼中映出了昔日某位少年的身影。</span>
34,现在我自己对他们也有很大的兴趣呢。<br>即使被命运玩弄，<br>但他们仍然在挑战世界。
33,姬塔是那个男人的孩子……<br>他也拜托过我照顾姬塔。
32,我……是呢……\n我想要见证那些孩子们的旅途，\n直到最后一刻。
31,你要和姬塔一起去星之岛吗？
30,那么你呢，萝赛塔？<br>你接下来打算怎么办？
29,<span class='scene-font-katari'>欧根打起了精神，</span><br><span class='scene-font-katari'>也向萝赛塔提出了一个问题。</span>
28,哈哈哈！<br>真是被你说倒了啊。
27,在我面前自称一把年纪，<br>可是很失礼的哦？
26,哎哟，我才是年龄比你大很多哦？
25,你是在和我说，<br>我都一把年纪了，<br>还要拥有梦想什么的嘛？
24,喂喂喂……！<br>你说得倒是轻巧啊！
23,那很简单了呀。<br>这次你就为了自己的未来，<br>继续沿着这条路走下去吧。
22,现在仔细想想，<br>我加入这个旅途是为了追逐我的过去。
21,<span class='scene-font-katari'>如此说着的欧根，</span><br><span class='scene-font-katari'>脸上浮现出超过这个岁数的无力感，</span><br><span class='scene-font-katari'>尽失以往的威风。</span>
20,每当我想到这件事，就好像……<br>心里开了一个大洞。
19,但是……<br>她已经以自己的方式结束了这一切。
18,而且我认为我需要与阿波罗做出了结……<br>作为一个父亲而言。
17,嗯……<br>与姬塔他们相遇之后，<br>我开始了这段旅程……
16,你知道我没有那种能力吧。<br>但是稍微一想，<br>这很容易猜到哦。
15,哈哈，真是厉害啊。<br>完全被你猜中了……<br>你是能读心对吧？
14,是。我很好奇，<br>已经和黑骑士以及埃尔斯特作出了了断的你，<br>接下来会怎么做。
13,该怎么做……<br>你是在问我是否会继续这趟旅程吗？
12,我说……<br>今后你打算怎么做？
11,<span class='scene-font-katari'>欧根犹豫不定地移开了视线。</span><br><span class='scene-font-katari'>看到他的样子，</span><br><span class='scene-font-katari'>萝赛塔提出了一个问题。</span>
10,我不会说“我好寂寞”这种不成熟的话，<br>但……还是有点……
9,哈哈哈。<br>所以你是在担心我这个老头吗？
8,……你的背影看上去有些寂寞……
7,哎哟，不好意思……<br>门是开着的，我看到你的背影就……
6,喂喂，再怎么喜欢神出鬼没，<br>进来前也该先敲个门吧？
5,<span class='scene-font-katari'>欧根转过头来，<br>无可奈何地耸了耸肩。
4,你看上去相当专注。<br>果然，这枪用了这么久，<br>你已经爱上它了吗？
3,<span class='scene-font-katari'>这时，</span><br><span class='scene-font-katari'>一个人影从身后走近了他。</span>
2,<span class='scene-font-katari'>他的表情很严肃，</span><br><span class='scene-font-katari'>就好像是在试图摆脱心中的担忧。</span>
1,<span class='scene-font-katari'>欧根把各种各样的工具摊在桌上，</span><br><span class='scene-font-katari'>静静地维护着自己的爱枪。</span>
0,…
0-synopsis,在姬塔和同伴们受到村民们的热烈欢迎的那天夜里，欧根正在维护着他的步枪，此时萝赛塔来到了他的身边。萝赛塔问他，现在埃尔斯特帝国和黑骑士都被打败，今后他会做些什么。而消沉的欧根则是说出了自己的迷茫。萝赛塔为欧根提供了建议，让他重新坚定了决心。
0-chapter_name,64：逡巡之夜
