text,trans
これが姬塔の<br>涯てに至った姿……,这就是姬塔抵达“际涯”的姿态……
よぉし！　このまま<br>やっつけちまおうぜ！,好！就这样一鼓作气干掉他！
私も一緒に戦います！,我会与你并肩作战！
ルリアは様子をうかがっている！,露莉亚在观察情况！
バトルログ,战斗日志
Lv?? レギオン・ヴォイドのCTがMAXになった。,Lv?? 虚空军团的CT到达了最大值。
はわわ……<br>すごい力です……！,哈哇哇……好强的力量……！
忌々しイ、輝キ……,可憎的、光辉……
ヴォイド・ゼロ,虚空·零
私だって……<br>もう負けたりしません！<br>今度こそ、絶対に……！,我……<br>这次绝不会输给你！绝不！
固い決意によって力が湧き上がる……！,坚定的决心让力量涌现出来……！
Lv?? レギオン・ヴォイドの特殊行動が発動！,Lv?? 虚空军团发动了特殊技！
ホロウ・インパクト,虚无·冲击
な、なんだぁ！？<br>傷が治ってるじゃねぇか！,什、什么！？<br>伤全治好了！
またか……！<br>厄介な力だな……,又来了……！<br>真是难缠的能力……
そ、そんなぁ……<br>でも、,怎、怎么会……<br>但是，
絶対に諦めなければ大丈夫だ<br>って何故かわからないけど<br>そう思うんです！,只要不放弃，就一定会成功。<br>不知怎么<br>我就是这样相信！
ナ、なに……！？<br>間に合わナい……だト！？,什、什么！？<br>居然……来不及修复！？
あれ……！<br>傷が完全に治らなくなってない？,快看……！<br>它的伤是不是没全治好？
姬塔さんの力のほうが<br>押しているんだわ！,是姬塔的力量<br>占了上风呢！
さすが姬塔！<br>ヤツの思い通りになんか<br>させるんじゃねぇぞ！,不愧是姬塔！<br>才不会让它得逞！
すごい……<br>確実に弱ってきてるよ！,好厉害……<br>那家伙确实在被削弱！
やるじゃねぇか！<br>このまま一気に決めちまえ！,了不起！<br>就这样一鼓作气了结它！
ーーーー！！<br>邪魔ハ……させナい……！,————！！<br>不会……让你们捣乱……！
リペイント・ザ・ワン,重塑・支配
あ、アア……<br>我々ガ……<br>我々ガ勝利……すルのデス。,啊、啊啊……<br>胜利……胜利……属于我们。
大丈夫、<br>きっと今のあなたなら……<br>絶対に負けたりしません！,别担心，<br>现在的你……<br>一定不会输的！
『涯て』の力が溢れ出る……！,“际涯”的力量喷涌而出……！
,
