id,name,text,trans
1,マルキアレス/马尔基亚雷斯,ほえぇぇぇぇ……<br>チヨコレイトじゃぁぁぁぁ……,嚯诶……<br>是巧克力啊啊啊……
2,マルキアレス/马尔基亚雷斯,姬塔殿、いつもすまんのう。<br>ワシのような者にも<br>感謝を忘れぬとは立派な若者じゃ。,姬塔大人，一直以来打扰了。<br>连我这样的人也不忘感谢，真是个优秀的年轻人啊。
3,マルキアレス/马尔基亚雷斯,もし、姬塔殿が<br>我が弟子であれば大アストラルの秘奥義、<br>余す所なく教えておったところよ。,如果姬塔大人是我的弟子的话，我一定会将大星幽的秘奥义无所保留的全部教授于你。
4,マルキアレス/马尔基亚雷斯,ふむ、秘奥義とは……<br>是即ち爆裂魔導術なり。,嗯，秘奥义……<br>即是爆裂魔导术。
5,マルキアレス/马尔基亚雷斯,要領はこのチヨコレイトと同じじゃ。<br>気持ちを込め、一心に思い、<br>念じるが如く祈りを捧げる。,要领就和做这个巧克力时的一样。<br>满怀心意，一心思念，献上最真挚的祈祷。
6,マルキアレス/马尔基亚雷斯,さすれば自ずと爆裂の花は咲き誇り、<br>念じた分だけ大きな実を落とすだろう。,如此一来，爆裂的花朵自然会盛开，<br>有着如此的念想，就会落下硕大的果实。
7,マルキアレス/马尔基亚雷斯,ん？　講釈は苦手であったかのう？<br>ならば実践して進ぜよう。,嗯？不喜欢听讲解吗？<br>那就直接来实践吧。
13,マルキアレス/马尔基亚雷斯,ウィィィィ……<br><span class='scene-font-4'>イヤアアアアアアアオウ！</span>,呜咿……<br><span class='scene-font-4'>咿呀啊啊啊呼！</span>
info,,,scene_s2_valentine_3074_v1_0_2002_2_3040108000_0
译者,,,
