id,trans
filename,主线剧情-第27章第3节第2幕
info,scene_cp27_q3_s20
31,我希望他自己想起来……为此，由我亲自来铲除障碍……！
30,不过，不告诉拉卡姆约定的内容，倒是我自己的任性。
29,咕哦哦哦哦哦！！
28,怎么会……
27,密斯拉自己都无法干涉自己的约束力。
26,很遗憾，没用的。密斯拉的能力，连密斯拉自己都无法解除。
25,没错！由我暂时吸收它的一部分力量来解除约定……
24,那、那个，能不能依靠露莉亚的能力想想办法？和<span class='scene-font-place'>阿尔比昂</span>那时一样！
23,真的假的……那也就是说，格兰赛法现在被星晶兽的力量束缚在这里吗！？
22,这就是骑空艇格兰赛法现在无法离开岛屿的原因。
21,也不知是福是祸，总之在星晶兽密斯拉的影响下，约定成立。
20,是啊……本来只是小孩子随口一说而已……
19,难道说……我和诺亚的约定也被密斯拉……？
18,无论多么强大的星晶兽都无法违抗它的约束力。
17,星晶兽密斯拉的能力会影响人的潜意识以及现象，使人绝对遵守契约或者诺言。
16,只要这座岛上就无法毁约，所以居民们也变得讲义气了。
15,正相反。没人毁约可不是因为大家都讲义气。而是因为无法毁约。
14,你说什么……？
13,这就是……契约的星晶兽，密斯拉的力量啊。
12,毕竟大家都很讲义气，不写书面合同也不会有人毁约的……
11,因为<span class='scene-font-place'>加隆佐</span>几十年来都是这样……我也从来没觉得奇怪。
10,骑空艇的整备涉及巨额款项，却连账单都不写，我们听说的时候真的非常震惊。
9,说起来……这座岛没什么人使用书面合同呢。
8,你们看到这些，有没有发现什么？
7,嗯……我没有感受到类似的气息……
6,还是说，星晶兽密斯拉就在这里？
5,那个……这里怎么了吗？
3,好，我收到了。多谢惠顾！
2,啊，这是货款。赶紧收下吧。
1,哦！终于造好了！属于我的骑空艇！这样活动范围就更广了……
0-synopsis,密斯拉的力量会影响人的潜意识以及现象，促使人们绝对遵守契约或诺言。格兰赛法无法起飞也是出于这个原因。诺亚说，就连露莉亚的力量也无法解除它的影响。
0-chapter_name,第27章 星晶兽诺亚
