id,name,text,trans
0-chapter_name,,求めた先にある答えとは……,所追求的答案是……
0-synopsis,,ウーノは自分を倒した姬塔ーサの力を認め、目的があると人は強くなると実感する。姬塔ーサが最後に挑むのが姬塔だと知ったウーノは、改めて姬塔の存在に興味を持つ。こうして姬塔ーサは、自分に足りなかったもの、自分の望みを自覚し、姬塔達のもとへ向かうのであった。,乌诺承认了打倒自己的萨拉萨的能力，切实感受到有目的能使人变强。知道萨拉萨最后想挑战的是姬塔后，乌诺重新对姬塔感到了兴趣。就这样，萨拉萨认识到了自己不足之处以及自己的愿望，向姬塔等人而去。
0,ウーノ/乌诺,私の負け……か。<br>随分と強くなったね。,是我输了……吗。<br>你变强了很多啊。
1,姬塔ーサ/萨拉萨,本当か！<br>あたし、強くなったか！,真的吗！<br>我变强了吗！
2,ウーノ/乌诺,そうだね。<br>さっきの君は<br>今までで一番強かった。,是啊。<br>刚才的你<br>是迄今为止最强的。
3,姬塔ーサ/萨拉萨,へへ……<br>そっか……,呵呵……<br>是吗……
4,ウーノ/乌诺,やはり、目的があると<br>人は強くなるね……,果然，有目的的话<br>人会变强呢……
5,ウーノ/乌诺,それで、姬塔ーサ。<br>これからどうするんだい？,好了，萨拉萨。<br>你接下来想干什么？
6,姬塔ーサ/萨拉萨,姬塔と戦う！,与姬塔一战！
7,姬塔ーサ/萨拉萨,それで、姬塔を<br>倒してあたしが本当の最強だって<br>証明するんだ！,然后，打倒姬塔<br>来证明我<br>是真的最强！
8,ウーノ/乌诺,そうか……,是吗……
9,ウーノ/乌诺,それにしても、まさか、<br>十天衆すべてを踏み台にして挑む相手が<br>あの子達だとはね……,话说回来，真没想到<br>你将所有的十天众当做踏脚石，<br>想要挑战的人是那孩子……
10,ウーノ/乌诺,その上、姬塔ーサに<br>ここまで影響を与えるなんて……,在此之上，她竟能<br>给萨拉萨带来这么多影响……
11,ウーノ/乌诺,やはり、あの子達は、<br>実に興味深い……,果然，那孩子<br>实在是很有趣……
12,,<span class='scene-font-katari'>自分に足りないものを……</span><br><span class='scene-font-katari'>自分の望みを自覚した姬塔ーサ。</span>,<span class='scene-font-katari'>认识到了自己的不足之处……</span><br><span class='scene-font-katari'>自己的愿望的萨拉萨。</span>
13,,<span class='scene-font-katari'>そして、姬塔ーサは一路、</span><br><span class='scene-font-katari'>姬塔達の元へと</span><br><span class='scene-font-katari'>向かうのであった。</span>,<span class='scene-font-katari'>然后，萨拉萨径直</span><br><span class='scene-font-katari'>向姬塔等人所在之处</span><br><span class='scene-font-katari'>而去。</span>
info,,,scene_ult_chr128_q4_9_s20
译者,,,
