id,name,text,trans
0,ランスロット/兰斯洛特,"誕生日おめでとう！<br> 姬塔のこの後のご予定は？  ",生日快乐！<br>姬塔你之后的计划是什么？
1,ランスロット/兰斯洛特,おっ、フリーか。,哦，自由活动啊。
2,ランスロット/兰斯洛特,"なら、その……もしよかったら<br>俺と一緒に出掛けないか？ ",那么……如果你愿意的话，跟我一起出门怎么样？
3,ランスロット/兰斯洛特,前の誕生日は少し行き当たりばったりに<br>なってしまったから、<br>今回は色々と計画を練ってきたんだ。,之前你的生日的时候有点漫无计划，<br>所以这次我准备了很多计划。
4,ランスロット/兰斯洛特,今のところ、フェードラッヘの<br>郷土料理を食べ歩くのと、<br>俺のお勧めの武器屋を廻るのと……,目前有，菲德拉赫乡土料理边走边吃，巡回我推荐的武器店……
5,ランスロット/兰斯洛特,誕生日スペシャルコースで<br>一緒に鍛錬、の三つを考えてる。,和走生日特殊路线一起锻炼，这三个。
6,ランスロット/兰斯洛特,え、どれもピンと来ないか？,欸，哪个都不中意？
7,ランスロット/兰斯洛特,"そうか……姬塔の<br>心を掴むのもなかなか難しいな。 ",是吗……要抓住姬塔的心很难啊。
8,ランスロット/兰斯洛特,そういえば……向こうの湖で<br>ボートに乗って水上散歩出来る<br>らしいんだけど、興味あるか？,说起来……前面那个湖可以乘小船去水上散步，你有兴趣吗？
9,ランスロット/兰斯洛特,おっ、目が輝いた。<br>ならそれで決まりだな！,哦，眼睛发光了。<br>那么就决定是那个了！
10,ランスロット/兰斯洛特,上手く漕げるかわからないけど、<br>頑張ってみるよ。姬塔は<br>ゆっくりと景色を楽しんでくれ！,不知道能不能划得很好，不过我会努力的。<br>姬塔你就悠闲地看景色吧！
info,,,scene_s4_birthday_3020_v3_0_2006_4_3040140000
