id,name,text,trans
0-chapter_name,,第2話 空,第2話 空
0-synopsis,,森の祠付近で、姬塔達の前に立ち塞がる悪党達。しかしそこで再び謎の物体の襲撃があり、困惑する悪党達を救っているうちに姬塔達にも危機が迫る。すると間一髪でラカムが合流、協力して謎の物体に立ち向かう。,在森林的祠堂附近，一群恶党挡在了姬塔一行人的面前。那里又有迷之物体出现，姬塔一行为解救困惑的恶党们而陷入危机。千钧一发之际拉卡姆出现，开始协力打倒迷之物体。
1,,<span class='scene-font-katari'>シェロの案内と、</span><br><span class='scene-font-katari'>ルリアの感知を辿り、</span><br><span class='scene-font-katari'>森の祠に向かう姬塔達。</span>,<span class='scene-font-katari'>由榭洛指引，</span><br><span class='scene-font-katari'>以及露莉亚的感知下，</span><br><span class='scene-font-katari'>姬塔一行人向着森林的祠堂前进。</span>
2,,<span class='scene-font-katari'>すると徐々に自然の様相が変わり、</span><br><span class='scene-font-katari'>その異様な雰囲気に足を止められる。</span>,<span class='scene-font-katari'>自然风貌突然开始逐渐变化，</span><br><span class='scene-font-katari'>一行人在这异样的氛围下停止了脚步。</span>
3,ルリア/露莉亚,わぷう！？,哇啊！？
4,ビィ/碧,ふぎゃあ！<br>な、なんだぁ、今度は向かい風かよ！？,呼呀！<br>怎，怎么，这次又是逆风吗！？
5,ルリア/露莉亚,ぷはぁ……<br>と、とっても変な風ですね……<br>あちこちから吹いてますよ？,噗哈……<br>这，这风好奇怪……<br>到处都在吹！
6,ビィ/碧,しかも冷たかったり温かかったり……<br>春風と北風が一緒にきたみたいだぜ。,而且既有冷风又有热风……<br>像是春风与北风一起吹来一样。
7,シェロカルテ/榭洛科特,本当に全方位から吹いてますね～<br>という事は、やっぱりこの先に……,还真是从全方位地吹啊～<br>这么说，这前面果然……
8,ビィ/碧,あぁ、天司がいる可能性が高ぇな。<br>この調子でがんばって前に進もうぜ！,是的，有很大可能天司就在附近。<br>我们就这样继续努力前进吧！
11,悪党１,おっと、いたいた！<br>１億ルピ発見だぜ！,哦哦，找到了找到了！<br>1亿卢比发现！
12,ルリア/露莉亚,きゃあ！<br>あ、あなた達は……？,呀啊！<br>你，你们是……？
13,悪党１,相棒、こっちだぁ！<br>さっさと片づけちまおうぜぇ！,兄弟，在这儿呢！<br>赶紧收拾了吧！
14,ビィ/碧,仲間もいるってのかよ！<br>オイラ達の邪魔をするってんなら──,还有同伴吗！<br>要是敢妨碍我们的话——
15,男の声/男人的声音,<span class='scene-font-4'>ぎゃあぁぁぁ！</span>,<span class='scene-font-4'>呀啊啊啊啊！</span>
16,シェロカルテ/榭洛科特,今の悲鳴は～……！？,刚刚的惨叫是～……！？
19,謎の物体/迷之物体,……────,……────
20,悪党１,うお！？<br>な、なんだ、コイツぁ！？,呜哦<br>什，什么啊这是！？
23,悪党２,う……うぅ……<br>に、逃げろ、殺されるぞ……,唔……唔唔……<br>快逃，会被杀掉的……
24,悪党１,あ、相棒！？<br>さあ立て、俺の肩に掴まるんだ！,啊，兄弟！？<br>快站起来，抓着我的肩膀！
25,悪党２,バカヤロウ……！<br>何してんだ、先に逃げろぉ……！,笨蛋……！<br>你在干什么，快逃……！
26,謎の物体/迷之物体,──────！,──────！
27,ルリア/露莉亚,さ、させません！<br>……おねがい、姬塔！,休，休想得逞！<br>……拜托了，姬塔！
32,,<span class='scene-font-katari'>姬塔はルリアとの、</span><br><span class='scene-font-katari'>息の合ったコンビネーションで、</span><br><span class='scene-font-katari'>謎の物体に俊敏な一撃を加える。</span>,<span class='scene-font-katari'>在姬塔和露莉亚的配合攻击下，</span><br><span class='scene-font-katari'>迷之物体受到了迅猛的一击。</span>
35,,<span class='scene-font-katari'>すると射線が変わり、</span><br><span class='scene-font-katari'>悪党達は一命を取り留めるのだった。</span>,<span class='scene-font-katari'>射线发生了改变，</span><br><span class='scene-font-katari'>恶党们保住了一命。</span>
36,悪党１,お、お前等どうして……！？,你，你们为什么……！？
37,ビィ/碧,いいから逃げろ！<br>このワッカはオイラ達に任せろ！,别管了你们快逃！<br>这个圈圈就交给我们！
38,悪党２,す、すまねぇ！<br>この恩は必ず……ヒィッ！？,对，对不住！<br>这份恩情一定……咦！？
42,謎の物体/迷之物体,……────,……────
43,シェロカルテ/榭洛科特,み、皆さん！？<br>ワッカ達に囲まれてしまいました～！,各，各位！？<br>我们被圈圈包围了～！
44,ルリア/露莉亚,そ、そんな……！<br>どうしましょう、姬塔？,怎，怎么会……！<br>怎么办，姬塔？
50,ラカム/拉卡姆,待たせたな、姬塔達！<br>ずいぶん賑やかな事になってるけどよ！,久等了，各位！<br>很热闹啊！
56,ビィ/碧,ラカム！,拉卡姆！
57,ラカム/拉卡姆,全員、下がってろ！<br>ここは俺と姬塔が……,全员后退！<br>这里交给我和姬塔……
58,ルリア/露莉亚,あ、私が先陣いきます！<br>一度やってみたかったんです！,啊，我来做前锋！<br>我一直想试一试！
59,ルリア/露莉亚,……え～い！,诶~……！
61,ラカム/拉卡姆,はぁ！？<br>な、なんでルリアが……？<br>一体どうなってやがんだよ！,哈！？<br>为，为什么露莉亚她……？<br>到底怎么回事啊！
info,,,scene_evt170301_cp2_q3_s20
