id,trans
filename,scene_evt220329_cp6_q1_s10
translator,myu
info,scene_evt220329_cp6_q1_s10
187,杰诺扛着\n愣住的奥德里克和挣扎的维克多，\n从岩场向下走去。
186,等等！放下来！\n把我放下来！
185,这样就能解决了。\n我把你们带过去吧。
184,杰诺迅速蹲下身子，\n轻轻地把兄弟俩扛在两边的肩膀上。
183,诶？什么！？
180,不是这样的吧。
179,抱歉……\n不该这样的……
178,是哥哥的错吧！？\n不由分说地把我拉到这种奇怪的地方！
177,国王殿下和王弟殿下都很郁闷。\n这样真的能拉近关系吗？
175,切……真不开心！\n我要回去了！
174,抱歉！\n我不会再说历史的事情了……！
173,我说过我对历史不感兴趣！\n你这样一直说说说……！
172,诶……？
171,你说的这些话\n和逛温泉街有什么关系吗？
170,因为雷维翁骑士团\n并不是庞大的军队而是少数精锐部队。\n这种性质——
163,虽然想着尽量避免打扰他们，\n但是我已经没法袖手旁观了。\n我去处理。
162,真复杂啊……
161,正因为是家人，\n所以才会被多余的感情所妨碍吧。
160,明明有着一样\n想互相理解的心情……
159,来之前也一直这样就是了。
157,一看就不行啊……
156,感觉上……
154,……！
153,所以失败于他国侵略，\n究其原因是因为雷维翁王国以前便……
151,呵呵，温泉街友好行动，\n不知道怎么样了？
150,哦！\n这不是国王殿下和王弟殿下吗！
142,虽然实际上有各种说法……\n但我觉得我的猜测能印证\n为何荣光的时代会急速衰退下来……
141,不过那个七曜骑士的故事也有部分是猜测的……\n毕竟雷帝烧掉了当时许多记录。
133,虽然航路崎岖凶险，\n但是勇敢又值得信赖的雷维翁骑士团\n能够保护商船……
132,这里靠近瘴流域，\n以前七曜骑士也将其作为穿越空域的据点，\n因此王国内聚集了各种货物。
124,维克多……\n我想让这个国家成为商业城市的理由是……
123,这是奥德里克为了\n让人们更好地了解雷维翁\n而撰写的王国历史解说。
122,奥德里克的目光\n突然停留在路中间的一块广告牌上。
121,（怎么办好呢？\n从这里到「永不分离之岩」\n还要走一段距离……）
