id,trans
filename,scene_evt170401_cp4_q3_s10
info,scene_evt170401_cp4_q3_s10
116,你在说什么乱七八糟的……！<br>那我先干掉你！
115,可能对不起这里的居民了……<br>但这次我要帮猛汉这边。
114,连小猛汉也要杀的，根本就不是猛汉猎人。<br>那是猛汉屠杀者。
113,抱歉。我啊……<br>虽然是猎人，但不喜欢虐杀。
112,你是……！？<br>你身为猛汉猎人为什么要帮猛汉！？
111,等等啊。
100,<span class='scene-font-4'>受死吧！</span>
97,<span class='scene-font-kokoro'>（你到底想干什么，罗艾因……）</span>
96,<span class='scene-font-kokoro'>（他的背影，表现出一种不凡的觉悟……）</span>
93,抱歉，卡塔莉娜……<br>我还是得去。
92,……的确，那只猛汉是很小……
91,那还是个小猛汉而已啊。
90,……罗艾因？ 你怎么了？
89,怎么了，罗艾因？<br>为什么这么难过的样子……？
87,情况，不算太坏……<br>好像只是一只小猛汉。<br>看来也不需要你出场了。
86,这家伙……！<br>既然已经到城里来了就不能放它回去！<br>上！守护我们的城市！
78,好嘞。<br>那么，今天猛汉猎人也会漂亮地完成工作！
77,罗艾因！<br>又有猛汉出现了……！
76,<span class='scene-font-4'>猛汉出现了！！</span>
67,唔，肿么办呃……
66,啊……也有点骑士精神的感觉？<br>那卡塔莉娜也是同感吧。
65,咦……<br>你们都不知道对方的立场就狩猎，感觉有点可怜。
64,……这个我也不知道。
63,……你们说的猛汉，为什么要危害他人？
57,那个吧，我们三个一起打倒的。
55,那个啊，世界上总是有一些，爱给人添麻烦的猛汉。
49,猛汉猎人，是什么？
48,可是啊……<br>我和猛汉水火不容的。<br>我们家代代都是猛汉猎人。
47,<span class='scene-font-4'>出现了，猛汉。</span>
46,说道体型的话……果然要提到那个？
45,要提到那个了？
44,喂喂喂……<br>这么说的话？
43,这个我懂喵。<br>体型瘦弱的话看起来和卡塔琳不搭的喵。
42,想要走在她身旁看起来协调的话，体格也要相当健壮才行……
41,还有，卡塔莉娜平时都穿铠甲吧？
40,出现了，就是那种白马王子吧？
39,那么，我想她的伴侣也应该拥有能与她分庭抗衡骑士精神和优秀的剑术吧？
38,卡塔莉娜阁下自己就是骑士中的典范……<br>剑术也相当高超。
37,……恕我冒昧。<br>我想说一点。
36,嗯，既然要做个宽宏大量的男人，我也必须知道女孩子们的观点才行。
35,对啊，就是这个。
34,所以那啥……女孩子是怎样看我们的，想知道客观定量的评价。
33,那个……<br>呃……怎么说呢。<br>我不是想追卡塔莉娜吗？
31,……我说，你们在干嘛？
30,<span class='scene-font-katari'>艾尔塞姆把罗艾因和托莫伊拿过来的调味瓶全都放了回去，表示强烈抗议。</span>
29,<span class='scene-font-kokoro'>（不对，现在这个情况不就应该展开攻势吗！？）</span>
28,<span class='scene-font-katari'>托莫伊把装盐的瓶子也拿了过来，还用指尖敲击，表示赞同罗艾因。</span>
27,<span class='scene-font-kokoro'>（不是说了要慎重行事的吗！？在被怀疑之前总之先停下来啊！）</span>
26,<span class='scene-font-katari'>罗艾因拿起酱汁瓶放在胡椒粉旁，强烈地表示反对。</span>
25,<span class='scene-font-kokoro'>（所以说你给我等一下啊！艾尔亲你秀过头了！）</span>
24,<span class='scene-font-katari'>而艾尔塞姆又用指甲敲了敲杯子，给罗艾因叫的暂停叫了暂停。</span>
22,<span class='scene-font-katari'>罗艾因十分了解艾尔塞姆，所以他把桌角的胡椒粉瓶滑到艾尔塞姆面前，叫了暂停。</span>
21,<span class='scene-font-katari'>这家伙太心急了——</span>
19,<span class='scene-font-4'>喜好……？</span>
18,要不可露瓦……呃，换你们说说对男人的喜好之类的？
17,那，刚才聊得那么欢，接下来的话……
13,<span class='scene-font-4'>好的。</span>
12,好了明白了，你们先坐下吧。
11,<span class='scene-font-4'>白痴！ 不准这么说！</span><br>虽然我想要成为宽宏大量的男人，你这么说我也会生气的啊！
10,其实都怪艾尔亲来着。
9,啊，抱歉，我也花了好久。
8,啊，抱歉，上厕所花了好长时间。
3,总觉得热闹得不像在上厕所喵……
2,谁知道……
1,……里面到底发生了什么？
0,<span class='scene-font-4'>喂——！？</span>
0-synopsis,联谊会的话题渐渐转向罗艾因和卡塔莉娜。说到配得上卡塔莉娜的体格时提到的「猛汉」一词，引出了罗艾因的妄想。罗艾因是狩猎猛汉的猛汉猎人，但看到骑空士正要狩猎小猛汉时出手阻止。于是骑空士向罗艾因发动了攻击。
0-chapter_name,第4话 翻车
