id,en,jp,trans
0-chapter_name,,第46章　エルステ帝国皇帝,第46章  埃尔斯特帝国皇帝
0-synopsis,,姬塔達はフェンリルとの激闘の末、勝利を収める。しかしフェンリルは力に制限を加えられていた。ロキは余裕の笑みを浮かべ、いくらかの忠告を口にすると、フェンリルをつれて去って行く。姬塔達は新たな脅威の出現に戦慄する。,一番激战后，姬塔等人战胜了芬里尔。然而这样的芬里尔已经被限制了能力。洛基从容地笑着，留下一些忠告后，带着芬里尔离开。
0,,<span class='scene-font-katari'>ロキ、フェンリルとの激戦を制する</span><br><span class='scene-font-katari'>姬塔一行。</span>,<span class='scene-font-katari'>姬塔一行赢得了与洛基和芬里尔的激战。</span>
1,,<span class='scene-font-katari'>しかし、</span><br><span class='scene-font-katari'>フェンリルに怯んだ様子は無く、</span><br><span class='scene-font-katari'>ただ悪態を吐いていた。</span>,<span class='scene-font-katari'>然而芬里尔毫无惧色，只是态度变得更为恶劣。</span>
2,,ロキ！<br>やっぱ邪魔だ！　この鎖、外せ！,洛基！这东西太碍事了！把锁链解开！
5,,駄目だよ、フェンリル。<br>それは必要なものなんだから。,不行啊，芬里尔。锁链是必要的。
6,,それに……こうでなくちゃね。<br>君達は僕の敵なんだから……,而且……不这样就没意思了。你们是我的敌人啊……
7,,けっ……相変わらずだな、テメェは。<br>腹も膨れねぇのに、<br>何がそんなに楽しいんだか……,切……你这家伙还是一样。干这种事又不会饱，也不知道你在笑什么……
8,,さてと……<br>とっても楽しませてもらったし、<br>僕達はもうそろそろ行くよ。,那么……我们玩得很高兴，今天就到此为止吧。
9,,そうそう……最後に一つ、忠告だ。<br>みんながみんなボクみたいに<br>気が長いわけじゃないからね。,对了对了……最后，给你们你个忠告。不是所有人都像我这么有耐心的。
10,,あまり悠長にしていると、<br>せっかく守った大事なものを、<br>結局、失ってしまうかもしれないよ。,你们太悠闲的话，好不容易救下的事物，最后还是会毁灭哦。
11,,なんだと……？<br>おい、そりゃどーいうことだ？,你说什么……？喂，这话什么意思？
12,,どういうことだろうね？<br>ふふ……さぁ、行くよ、フェンリル。,是什么意思呢？呵呵……走了，芬里尔。
13,,ふん……,哼……
14,,<span class='scene-font-katari'>ロキが軽く指を振ると、</span><br><span class='scene-font-katari'>不意にその周囲が光に包まれる。</span>,<span class='scene-font-katari'>洛基一挥手指，整个人就被光芒包裹。</span>
15,,<span class='scene-font-katari'>一同が眩しさに目を閉じ、</span><br><span class='scene-font-katari'>再び目を開くと、</span><br><span class='scene-font-katari'>すでにその場に二人の姿はなかった。</span>,<span class='scene-font-katari'>众人因刺眼的光芒闭上眼，再次睁眼时，两人就已经消失了。</span>
16,,ったく……<br>いったいなんだったんだよ？<br>あいつらは……,真是的……他们两个到底怎么回事啊？
17,,挨拶と宣誓……<br>本当にそのためだけに、<br>私達に会いに来たみたいですね。,打招呼和宣誓……他们真的就为了这些特地来见我们。
18,,星の民がエルステ帝国の皇帝、か……<br>やれやれ……<br>とんでもねぇことになっちまったな。,埃尔斯特帝国的皇帝是星之民，么……哎呀哎呀……真是不得了。
19,,奴は執拗に、<br>私達の敵であると言っていたな。,那家伙说了好多遍他是我们的敌人。
20,,ということは恐らく……<br>これが奴との最後の邂逅、<br>ということもないのだろうな……,也就是说……这恐怕不会是我们最后一次见到他……
21,,<span class='scene-font-katari'>新たな脅威の出現に戦慄する</span><br><span class='scene-font-katari'>姬塔一行。</span>,<span class='scene-font-katari'>姬塔一行对新出现的威胁感到战栗。</span>
22,,<span class='scene-font-katari'>空と星の歴史が育んだ禍根は、</span><br><span class='scene-font-katari'>あまりに大きな壁として、</span><br><span class='scene-font-katari'>一行の前に立ち塞がるのだった。</span>,<span class='scene-font-katari'>空与星的历史留下的祸根，对众人来说是挡住前路的巨大壁垒。</span>
info,,1,scene_cp46_q4_s30
