id,name,text,trans
0-chapter_name,,騎士は如何にして忠義を示すか,
0-synopsis,,ジークフリートと自分の違いを目の当たりにし、騎士としての自信を無くすランスロット。しかしかつて仲間に言われた言葉が聞こえてきて、ランスロットは皆の助けを借りながらも前に立って進み続けることが自分なりの騎士団長の在り方だと強く自覚する。その瞬間ランスロットは新たな鎧と双剣を得る。ランスロットは己の在り方を証明するため、過去の自分と戦うのだった。,
1,不思議な声,問おう。\nお前に彼の者と同じことが出来るのか？\nひとりで国を守れるのか？,
2,ランスロット/兰斯洛特,…………,
3,ランスロット/兰斯洛特,（ジークフリートさんはやはり凄い。\nずっとおひとりで戦われていたと\n知ってはいたが……）,
4,ランスロット/兰斯洛特,（俺は……\nあの時の俺は一体何をしていたんだ？）,
5,,ランスロットがそう思うのと同時に、\n霧に沈んでいた周囲の景色が\n見知った場所へと変化した。,
11,ランスロット/兰斯洛特,そうか。白竜騎士団への再編も\n無事に済んで、各隊もようやく\n落ち着いてきたんだな。,
12,白竜騎士団団員,ええ。これもランスロット新団長が\n尽力してくださったからです。,
13,ランスロット/兰斯洛特,そんなことはない。\nお前達が協力してくれたからだ。,
14,白竜騎士団団員,いえいえ、皆言ってますよ。\n新団長がしっかりと音頭を取って\nくれるからどこも混乱せずに済んだと。,
15,ランスロット/兰斯洛特,そうか。俺のやり方で団員達が\n満足してくれているなら何よりだな。,
16,白竜騎士団団員,ええ。\nあ、それともうひとつ、\nお耳に入れたいことが。,
17,ランスロット/兰斯洛特,何だ？,
18,白竜騎士団団員,実は先日、王都近くの森で\n大剣を持った黒い鎧の男が\n目撃されたとの報告が。,
19,ランスロット/兰斯洛特,……そうか。対策は考えておく。,
20,白竜騎士団団員,は、はぁ……\nそれでは自分は持ち場に戻ります。,
21,白竜騎士団団員,（パーシヴァル副団長や\nヴェインが王都を離れてから、\n時々ランスロットさん怖いな……）,
23,ランスロット/兰斯洛特,ジークフリート……\nあれだけのことをしておいて、\n何故王都の近くをうろついている？,
24,ランスロット/兰斯洛特,何が目的なんだ？\n俺達に伝えたいことでも？,
30,ランスロット/兰斯洛特,……馬鹿馬鹿しい。\nあの狂気に堕ちた顔を忘れたのか？,
31,ランスロット/兰斯洛特,…………,
32,ランスロット/兰斯洛特,（当時の俺は再編された騎士団を\n回していくことで精いっぱいだった。\nいや、そう思いたがっていた）,
33,ランスロット/兰斯洛特,（冷静になって考えれば、\nジークフリートさんの真意にも\n気づけそうなものを……）,
34,ランスロット/兰斯洛特,（俺はあの時、ジークフリートさんを\n憎んでいた。恨んでいた。\n何よりも恐れていた……）,
35,ランスロット/兰斯洛特,（真実と向き合うどころか、\n自分から目を背けていたんだ）,
36,ランスロット/兰斯洛特,（あまりにも違いすぎるな……\n俺とジークフリートさんは……）,
42,不思議な声,フェードラッヘには\n後ろ暗い過去がある。,
43,不思議な声,真実がひた隠しにされていることは\nお前も気づいているだろう。,
44,不思議な声,お前はまだその全貌を知らない。\nだがいずれ真実は明るみになるだろう。,
45,不思議な声,問おう。\nお前は如何にして真実と向き合う？\n如何にして国への忠義を果たす？,
46,不思議な声,王国がお前の思い描く輝かしいものと\n異なっていたとしたら、\n何故お前は忠義を貫くというのだ？,
47,ランスロット/兰斯洛特,（本当に、その通りだな……\nまた真実を見誤ってしまうことだって\nあるかもしれない……）,
48,ランスロット/兰斯洛特,（こんな俺に、国を守る資格なんて\nあるのだろうか？）,
49,,ランスロットは静かに膝を折る。\n偉大過ぎる恩師の過去を前にして、\n立ち上がる気力を奪われていた。,
50,ランスロット/兰斯洛特,（俺はジークフリートさんと\n同じようには出来ない……\n出来るはずがない……）,
51,不思議な声,もはやこれまでか。\n見損なったぞ、ランスロット。,
52,不思議な声,お前にフェードラッヘの騎士を\n名乗る資格はない。\nなればこそ、疾く王都を去──,
53,？？？,い！\nランスロット！,
55,ランスロット/兰斯洛特,その声は……？,
57,,後ろへ振り返ると、霧の中から\n頼もしい仲間の姿が浮かび上がり、\n檄を飛ばすように声を上げた。,
58,ヴェイン/维恩,何が真実で何が嘘かなんて\n俺の頭じゃわかんねぇ！,
59,ヴェイン/维恩,でも、お前のことは信じてる！\nだから、お前のやりたいようにやれ！,
60,ヴェイン/维恩,その結果……たとえ世間がお前を\n国家に背いた大罪人と罵ろうが、\n俺だけは変わらずお前の親友だ！,
61,ランスロット/兰斯洛特,ヴェイン……,
62,,それは毒物カルマの真実と\nイザベラの主張との間で揺れていた\nランスロットにヴェインがかけた言葉。,
64,パーシヴァル/帕西瓦尔,お前は同じことを何度言わせる？,
65,パーシヴァル/帕西瓦尔,冷静さを欠いた様では、\n拾った命をみすみす捨てるだけだ。,
66,,それはフェードラッヘが亡国の危機に\n瀕した時、ランスロットを落ち着かせる\nために言ったパーシヴァルの言葉。,
67,ランスロット/兰斯洛特,お前の言葉はいつも厳しいな。\nだからこそ俺はお前のことを\n信頼しているんだ。,
69,ジークフリート/齐格飞,そもそも、俺が団長に戻ったとして\n現団長であるお前は\n本当にそれでいいのか？,
70,ジークフリート/齐格飞,やすやすと団長の座を\n俺に譲り渡す程度の覚悟で\n騎士団を率いていたというのか？,
71,ランスロット/兰斯洛特,「そんなワケはない」……\nあの時俺はそう答えたんだ。,
72,ランスロット/兰斯洛特,陛下から白竜騎士団の団長に\n任命された時から、\n俺の気持ちはひとつだった。,
73,ランスロット/兰斯洛特,この国を守り通す。\n如何なる困難が立ちはだかろうと、\n皆の前に立って導いていくと！,
74,,ランスロットは己の意志を\n確認するように、今一度\n霧の中に浮かぶ仲間達に向き直る。,
76,,そこには頼もしい戦友達の他に、\nランスロットが真に守りたいと願った\n沢山の人々が並び立っていた。,
77,ランスロット/兰斯洛特,俺ひとりの力はジークフリートさんには\n遠く及ばないかもしれない……\n俺だけでは真実を見誤るかもしれない。,
78,ランスロット/兰斯洛特,だがそれでも俺は皆に助けられて、\n皆を背中に感じながら、\n前に立ち……進み続けると決めた。,
79,ランスロット/兰斯洛特,それが俺の……\n俺なりの騎士団長の在り方だ！,
104,,宣言した瞬間、ランスロットの体は\n光に包まれ、純白の鎧と氷の輝きを\n湛える双剣が現れる。,
105,,同時に視界を遮っていた霧が晴れ、\nフェードラッヘの練兵場が見えてきた。,
111,ランスロット/兰斯洛特,はぁっ！　せぃっ！,
112,ランスロット/兰斯洛特,…………,
113,,ランスロットは練兵場でひとり\n鍛錬に励む過去の自分を見つけると、\nゆっくりと歩を進める。,
114,ランスロット/兰斯洛特,ジークフリートさん……\n<span class='scene-font-4'>ジークフリートォォォ！！</span>,
115,ランスロット/兰斯洛特,熱くなるな。\n冷静になって周りをよく見ろ。,
116,ランスロット/兰斯洛特,あの人のようにはなるな……,
117,ランスロット/兰斯洛特,違うだろ。お前はいつだって、\nジークフリートさんに憧れる気持ちを\n捨てられなかった。,
118,ランスロット/兰斯洛特,あの人のようになれ！,
119,ランスロット/兰斯洛特,そうじゃない。\nお前はジークフリートさんとは\n何もかもが違うんだ！,
120,ランスロット/兰斯洛特,わからないのなら俺が教えてやる！\n俺が進むべき道を！,
121,ランスロット/兰斯洛特,うぉぉおおぉぉおおお！！,
122,ランスロット/兰斯洛特,<span class='scene-font-4'>来い！</span>\n俺はお前を克服し、\n俺なりの忠義を証明してみせる！,
info,,,scene_chr719_q3_s20待翻
译者,,,
