id,en,jp,trans
0-chapter_name,,第8章　鉄の巨人,第八章  铁巨人
0-synopsis,,イオは、自らが教えてもらった魔法の心意気を大公に語りかける。そして、大公の笑顔を取り戻すため、例え悲願であろうともコロッサスを倒すことを宣言する。,伊欧向大公讲述他亲自教授的魔法真意。随后伊欧宣言，她要打倒大公所谓的夙愿科罗萨斯，夺回大公的笑容。
1,,"あと一息だ！<br>
残りは巨人の本体だけだぜ！",再加把劲！只剩下巨人的本体了！
2,,"ねぇ、師匠……<br>
師匠は教えてくれたよね、<br>
魔法は笑顔のためにあるって。",呐，师父……师父教过我吧，魔法是为了给人带来笑容。
3,,…………,…………
4,,"師匠の夢かもしれない……<br>
古の悲願かもしれない……<br>
だけど……倒すよ、あの巨人を。",也许这是师父的梦想……也许这是古人的遗愿……但是……我要打败巨人。
5,,……それがお前の答えか。,……这就是你的回答吗？
6,,"うん……だって師匠笑ってないんだもん。<br>
ごめんね、師匠……<br>
でも、あたしは……師匠の弟子だから。",嗯……因为师父并没有在笑。对不起，师父……但是，因为我是……师父的弟子啊。
7,,"師匠に教えてもらったから……<br>
師匠が教えてくれたから……<br>
だから……今度はあたしの番なんだ！！",师父是这样教我的……这是我从师父这里学到的……所以……这次由我来！ ！
8,,"見ててよ師匠……笑わせてあげる。<br>
師匠仕込みの最強に最高な魔法で、<br>
あたしは貴方の笑顔を取り戻す！！",看着吧师父……我会让你露出笑容的。用师父传授给我的最强魔法，夺回师父的笑容！！
9,,<span class='scene-font-kokoro'>（イオちゃん、頑張って……）</span>,<span class='scene-font-kokoro'>（伊欧，加油……）</span>
13,,"ふふ、どうです？<br>
彼ら、良い仕事するでしょ～！",哼哼，怎么样？他们干得不错吧〜！
14,,"悪くないな……<br>
ルリアも相当揺れているようだ。",是不错……看来露莉亚也在为之动摇。
15,,"だが、まだ足りない……<br>
まだ彼女には遠いのだ……<br>
彼女を取り返すには、まだ……",然而，还不够……离她还太远了……要把她夺回来，这样还不够……
info,,1,scene_cp8_q4_s20
备注,,,ver-1: @煌月夜 2018/4/8
